Phylum	Class	Genus	Species	Subspecies	English name	GB	FRANCE	BELGIUM	NETHERLANDS	RINSE GB	RINSE FRANCE	RINSE BELGIUM	RINSE NETHERLANDS	Environment
Chlorophyta	Bryopsidophyceae	Codium	fragile	Atlanticum	Green sea fingers (atlanticum)	Y				N				M
Chlorophyta	Bryopsidophyceae	Codium	fragile	fragile	Green sea-fingers (tomentosoides)	Y	Y	Y	Y	Y	Y			M
Arthropoda	Insecta	Aleurodicus	destructor  aleyrodoidae			Y				?				T
Arthropoda	Insecta	Anastrepha			 A Fruit Fly [ 	Y				Y				T
Basidiomycota	Agaricomycetes	Anthurus 	muellerianus 	aseroëformis					Y					T
Arthropoda	Branchiopoda	Artemia	(salina)		Brine shrimp	Y	Y		Y	Y				M
Angiospermae	Eudicotyledoneae	Artemisia 	ampestris	maritima 		Y			Y					T
Heterokontophyta 	Phaeophyceae 	Botrytella				Y			Y	N				M
Arthropoda	Arachnida	Cerbalus						Y				Y		T
Arthropoda	Malacostraca	Procambarus	"(""Marmorkrebs"")"		Marbled Crayfish	N			Y	N			Y	F
Arthropoda	Insecta	Chaetanaphothrips 				Y	Y		Y					T
Arthropoda	Insecta	Chaetosiphon	limnaei	fragaefolii		Y	Y	Y	Y	Y	?	?	?	T
Arthropoda	Insecta	Cinara	pini	habitans		Y				?				T
Pinophyta	Pinopsida	Cuprocyparis				Y	Y							T
Arthropoda	Insecta	Cyclorhipidion					Y	Y	Y		?	Y	?	T
Rhodophyta	not assigned	Dasysiphonia							Y					M
Arthropoda	Insecta	Diabrotica	virgifera	virgifera		Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Elachista				Y	Y	Y	Y	Y		Y	Y	M
Angiospermae	Eudicotyledoneae	Eucalyptus			 Gum Tree	Y				Y				T
Ascomycota	Sordariomycetes	Fusarium	oxysporum f.			Y	Y		Y	Y			Y	T
Arthropoda	Insecta	Glycaspis	brimblecombei  	psylloidea			Y				?			T
Arthropoda	Arachnida	Haplodrassus				Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Hoplopleura	sciuricola 	 anoplura		Y				?				T
Arthropoda	Insecta	Icosium	tomentosum  	atticum			Y				?			T
Pinophyta	Pinopsida	Larix	x			Y	Y							T
Arthropoda	Insecta	Lipeurus	maculosus  Ischnocera			Y				?				T
Chordata	Actinopterygii	Maylandia			Zebrafish species	Y, Ex		N		N		N		F
Arthropoda	Maxillopoda	Megabalanus	coccoporna				Y	Y	Y		Y	Y	Y	M
Heterokontophyta 	Phaeophyceae 	Myriactula				Y			Y	Y				M
Arthropoda	Insecta	Nosopsyllus	londinensis  	londinensis		Y	Y	Y		?	?	?		T
Arthropoda	Insecta	Orientus	ishidae  	auchenorrhyncha			Y				?			T
Heterokontophyta	Oomycetes	Peronospora	hyoscyami f.			Y	Y			N				T
Mollusca	Gastropoda	Physa			 Bladder Snails	Y				Y				T
Pinophyta	Pinopsida	Pinophyta	wallichiana   			Y								T
Arthropoda	Insecta	Scyphophorus					Y				?			T
Arthropoda	Insecta	Solenopotes	muntiacus  anoplura			Y				?				T
Arthropoda	Insecta	Tuberocephalus	higansakurae  	hainnevilleae			Y				?			T
Arthropoda	Insecta	Xenopsylla	cheopis	cheopis  		Y	Y			?	?			T
Chlorophyta	Bryopsidophyceae	Codium	fragile	tomentosoides		Y	Y		Y	Y			Y	M
Basidiomycota	Agaricomycetes	Aseroë	rubra			Y				Y				T
Chordata	Aves	Hippollais	rama		Sykes' Warbler			Y				Y		T
Vira	not assigned	Avipoxvirus				Y			Y					T
Vira	not assigned	Bluetongue			Bluetongue	Y	Y	Y	Y					T
Annelida	Polychaeta	Scolelepis	cf. bonnieri						Y					M
Chordata	Aves	Balearica	pavonina		Black Crowned Crane	Y	Y			?	?			F+T
