Latin name	Common name	Origin	Introduction	Pathway(s)	Status
Acipenser baeri	Siberian sturgeon	AS	2001	AQ, OR	A
Acipenser guldenstaedti	Russian sturgeon	EE	2005	AQ, OR	A
Acipenser ruthenus	Sterlet	EE	20xx	AQ, OR	A
Ameiurus nebulosus	Brown bullhead	NA	1871	AQ, OR	N
Aspius aspius	Asp	EE	1984	AN	N
Carassius auratus	Goldfish	AS	17th c.	OR	A
Carassius gibelio	Gibel carp	AS or EE	17th c.	UN	N
Clarias gariepinus	African catfish	AFR	1980s	AQ	A*
Ctenopharyngodon idella	Grass carp	AS	1967	BC	A
Cyprinus carpio	Common carp	EE	13th c.	AQ	N
Hypophthalmichthys molitrix	Silver carp	AS	1975	BC	A
Hypophthalmichthys nobilis	Bighead carp	AS	1975	BC	A
Ictalurus punctatus	Channel catfish	NA	1884	AQ	A
Lepomis gibbosus	Pumpkinseed	NA	1885	OR	N
Neogobius melanostomus	Round goby	EE	2010	BW, AM	N
Oncorhynchus mykiss	Rainbow trout	NA	1884	AQ, AN	A
Oreochromis niloticus	Nile tilapia	AFR	1990	AQ	A*
Pimephales promelas	Fathead minnow	NA	1984	AN	N
Ponticola kessleri	Bighead goby	EE	2012	BW, AM	N
Proterorhinus semilunairs	Tubenose goby	EE	2010	AM	N
Pseudorasbora parva	Topmouth gudgeon	AS	1992	UN, AN	N
Sander lucioperca	Pikeperch	EE	1890	AN	N
Umbra pygmaea	Eastern mudminnow	NA	1920	OR, AQ	N
